duoarea,area-name,product,product-name,process,process-name,series,series-description,value,year,month,Cluster_Label
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.793095238095238,2024,2,20
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.764,2024,2,13
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.456,2024,2,19
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.203,2024,2,12
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.27,2024,1,24
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.8016666666666665,2024,1,25
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.478,2024,1,26
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.741,2024,1,27
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.478,2024,1,28
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.8095238095238093,2024,1,29
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.592,2024,1,30
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.711,2024,1,31
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.648,2024,1,32
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.243,2024,1,33
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.7964285714285715,2024,1,34
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.805,2024,1,35
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.625,2024,1,31
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.382,2024,1,26
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.175,2024,1,24
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.738095238095238,2024,1,25
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.736190476190476,2024,1,34
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.519,2024,1,30
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.377,2024,1,28
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.7407142857142857,2024,1,29
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.567,2024,1,32
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.668,2024,1,27
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.739285714285714,2024,1,35
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.151,2024,1,33
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.7145238095238096,2024,1,34
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.634,2024,1,27
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.584,2024,1,31
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.315,2024,1,26
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.081,2024,1,33
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.7099999999999997,2024,1,29
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.712142857142857,2024,1,35
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.309,2024,1,28
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.107,2024,1,24
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.713809523809524,2024,1,25
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.478,2024,1,30
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.523,2024,1,32
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.7285714285714284,2024,1,34
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.582,2024,1,27
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.338,2024,1,26
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.117,2024,1,33
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.335,2024,1,28
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.139,2024,1,24
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.7245238095238096,2024,1,35
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.463,2024,1,30
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.548,2024,1,31
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.7273809523809522,2024,1,25
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.7207142857142854,2024,1,29
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.499,2024,1,32
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.5,2023,12,36
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.7526190476190475,2023,12,37
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.58,2023,12,38
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.156,2023,12,39
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.7447619047619047,2023,12,40
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.544,2023,12,41
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.347,2023,12,42
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.7547619047619047,2023,12,43
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.135,2023,12,44
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.601,2023,12,45
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.749285714285714,2023,12,46
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.125,2023,12,47
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.765,2023,12,43
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.691,2023,12,45
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.757142857142857,2023,12,46
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.7504761904761903,2023,12,40
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.17,2023,12,47
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.7616666666666665,2023,12,37
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.666,2023,12,38
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.178,2023,12,44
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.576,2023,12,36
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.194,2023,12,39
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.625,2023,12,41
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.385,2023,12,42
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.283,2023,12,42
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.6964285714285714,2023,12,43
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.072,2023,12,44
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.575,2023,12,45
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.6847619047619047,2023,12,46
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.678095238095238,2023,12,40
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.6909523809523808,2023,12,37
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.549,2023,12,38
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.09,2023,12,39
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.472,2023,12,36
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.513,2023,12,41
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.061,2023,12,47
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.533,2023,12,41
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.6978571428571427,2023,12,46
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.568,2023,12,38
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.493,2023,12,36
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.6919047619047618,2023,12,40
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.601,2023,12,45
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.28,2023,12,42
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.07,2023,12,44
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.706190476190476,2023,12,43
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.065,2023,12,47
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.7026190476190477,2023,12,37
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.085,2023,12,39
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.177,2023,12,44
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.8102380952380952,2023,12,37
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.8085714285714283,2023,12,43
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.181,2023,12,39
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.8054761904761902,2023,12,40
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.8092857142857142,2023,12,46
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.753,2023,12,38
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.231,2023,12,42
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.825,2023,12,45
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.713,2023,12,41
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.203,2023,12,47
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.672,2023,12,36
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.766,2023,11,48
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.875,2023,11,49
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.8378571428571426,2023,11,50
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.189,2023,11,51
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.185,2023,11,52
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.8357142857142854,2023,11,53
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.8333333333333333,2023,11,54
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.802,2023,11,55
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.206,2023,11,56
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.214,2023,11,57
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.8383333333333332,2023,11,58
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.726,2023,11,59
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.713,2023,11,48
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.747,2023,11,55
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.8188095238095237,2023,11,54
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.817142857142857,2023,11,53
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.8204761904761901,2023,11,50
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.164,2023,11,52
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.814,2023,11,49
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.675,2023,11,59
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.167,2023,11,51
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.189,2023,11,57
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.8192857142857142,2023,11,58
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.183,2023,11,56
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.158,2023,11,52
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.748,2023,11,55
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.179,2023,11,56
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.8328571428571427,2023,11,58
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.838095238095238,2023,11,50
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.163,2023,11,51
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.715,2023,11,48
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.8,2023,11,49
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.677,2023,11,59
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.177,2023,11,57
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.8402380952380952,2023,11,54
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.827142857142857,2023,11,53
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.926904761904762,2023,11,50
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.9369047619047617,2023,11,54
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.9026190476190474,2023,11,53
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.808,2023,11,59
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.853,2023,11,48
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.224,2023,11,56
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.915,2023,11,58
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.215,2023,11,57
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.974,2023,11,49
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.211,2023,11,52
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.899,2023,11,55
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.213,2023,11,51
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.27,2023,10,60
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0159523809523807,2023,10,61
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.273,2023,10,62
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.975,2023,10,63
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.266,2023,10,64
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.928,2023,10,65
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.9766666666666666,2023,10,66
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.9580952380952379,2023,10,67
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.9966666666666666,2023,10,68
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.891,2023,10,69
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.29,2023,10,70
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,3.054,2023,10,71
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.301,2023,10,60
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,3.159,2023,10,71
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,2.0685714285714285,2023,10,68
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.058,2023,10,63
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.094047619047619,2023,10,61
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.33,2023,10,70
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.313,2023,10,62
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.3,2023,10,64
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,3.002,2023,10,65
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,2.0395238095238093,2023,10,66
